,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
464,N/A,N/A,utx,N/A,N/A,N/A,N/A,N/A,76.76,11.76,1.51,2.99,13.13,14.67,5.72,1.5,65.55,83910000000.0,99750000000.0,14.32,1.68,1.78,9.87,1.78,15670000000.0,1.5,3810000000.0,8.53,16.50,0.30,7220000000.0,8.62,23050000000.0,1.34,33.88,100.27,1.5,0.13,83.20,21810000.0,5.54,2.96,21920000.0,N/A
465,N/A,N/A,v,N/A,N/A,N/A,N/A,N/A,54.50,26.78,13.01,6.38,48.02,65.74,12.60,1.5,5.99,183230000000.0,179240000000.0,24.01,1.72,12.55,18.62,12.55,11800000000.0,1.5,6840000000.0,2.87,10.10,6.40,19900000000.0,8.34,15880000000.0,4.74,12.22,76.83,1.5,0.06,92.80,49530000.0,6.29,2.56,50080000.0,N/A
466,N/A,N/A,vale,N/A,N/A,N/A,N/A,N/A,87.32,N/A,0.91,0.62,31.68,10.54,1.75,1.5,4.91,21280000000.0,51370000000.0,11.47,0.93,2.03,6.87,2.03,5100000000.0,1.5,8010000000.0,1.55,N/A,22.40,3930000000.0,0.76,34020000000.000004,1.51,7.16,4.13,1.5,N/A,N/A,149560000.0,4.55,N/A,168930000.0,N/A
467,N/A,N/A,var,N/A,N/A,N/A,N/A,N/A,46.61,20.30,2.52,4.66,12.77,17.34,9.23,1.5,31.89,7840000000.0,7690000000.0,16.66,1.58,2.47,12.55,2.47,1280000000.0,1.5,398180000.0,4.04,8.50,0.10,961100000.0,10.04,794140000.0,1.64,17.66,82.11,1.5,0.24,98.80,8010000.0,15.02,8.30,7990000.0,N/A
468,N/A,N/A,vfc,N/A,N/A,N/A,N/A,N/A,51.94,21.47,2.07,5.24,9.72,14.08,11.14,1.5,29.18,25380000000.0,27230000000.0,16.37,1.75,2.20,13.50,2.20,5980000000.0,1.5,1200000000.0,2.79,9.90,0.10,585840000.0,1.39,2540000000.0,1.57,11.60,59.93,1.5,0.64,85.40,7420000.0,4.35,2.15,6990000.0,N/A
469,N/A,N/A,viab,N/A,N/A,N/A,N/A,N/A,300.60,7.10,1.22,4.07,17.13,27.41,10.05,1.5,32.74,15660000000.0,27700000000.0,7.47,1.35,2.13,7.32,2.13,N/A,1.5,2230000000.0,5.57,N/A,2.50,480000000.0,1.21,12530000000.0,1.06,9.82,39.53,1.5,0.76,90.70,9960000.0,3.69,2.90,10180000.0,N/A
470,N/A,N/A,vlo,N/A,N/A,N/A,N/A,N/A,34.12,7.65,0.31,1.25,4.28,6.92,7.91,1.5,169.18,25890000000.0,29450000000.0,7.95,1.95,0.36,3.89,0.36,13150000000.0,1.5,3520000000.0,7.20,48.70,28.10,3780000000.0,8.04,7340000000.0,2.19,43.97,55.11,1.5,0.44,84.20,13450000.0,2.55,2.87,12350000.0,N/A
471,N/A,N/A,vmc,N/A,N/A,N/A,N/A,N/A,44.82,56.22,4.36,3.50,7.89,17.50,4.67,1.5,26.56,15400000000.0,17190000000.0,24.55,1.51,4.85,19.14,4.85,857530000.0,1.5,290310000.0,2.06,N/A,19.60,191890000.0,1.44,1980000000.0,2.83,33.15,115.64,1.5,0.30,90.20,2020000.0,2.19,1.73,2020000.0,N/A
472,N/A,N/A,vno,N/A,N/A,N/A,N/A,N/A,131.40,37.54,7.35,3.48,22.65,30.35,2.35,1.5,13.17,17970000000.0,28260000000.0,17.53,3.12,11.38,23.13,11.38,1490000000.0,1.5,444220000.0,2.54,N/A,1.00,1680000000.0,8.89,11140000000.0,3.53,27.80,95.20,1.5,9.12,88.90,3070000.0,4.69,2.22,2790000.0,N/A
473,N/A,N/A,vrsn,N/A,N/A,N/A,N/A,N/A,N/A,28.43,8.51,N/A,36.43,58.04,15.93,1.5,9.65,9190000000.0,9160000000.0,22.35,2.92,8.46,13.29,8.46,866580000.0,1.5,394450000.0,2.98,21.80,9.10,1900000000.0,17.48,1870000000.0,1.31,10.18,84.72,1.5,12.24,110.80,20150000.0,23.90,25.12,20810000.0,N/A
