,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
189,N/A,N/A,mo,N/A,N/A,N/A,N/A,N/A,461.40,23.31,6.65,46.34,28.46,46.24,16.18,1.5,9.76,126350000000.0,135350000000.0,19.28,2.54,7.08,14.94,7.08,11110000000.0,1.5,5430000000.0,2.77,19.50,6.00,3820000000.0,1.95,12850000000.0,0.87,1.40,64.58,1.5,0.15,60.60,12870000.0,1.92,0.66,11620000.0,N/A
190,N/A,N/A,mon,N/A,N/A,N/A,N/A,N/A,217.49,31.70,3.13,10.30,10.64,24.08,9.85,1.5,29.84,43660000000.0,51640000000.0,18.30,2.60,3.77,12.87,3.77,8180000000.0,1.5,1440000000.0,3.15,25.40,12.80,1040000000.0,2.38,9030000000.0,1.43,9.51,99.94,1.5,0.27,83.10,6170000.0,2.06,1.41,7140000.0,N/A
191,N/A,N/A,mos,N/A,N/A,N/A,N/A,N/A,38.46,9.18,1.06,0.89,11.42,13.13,3.92,1.5,23.76,8690000000.0,11490000000.0,15.62,6.31,1.36,6.11,1.36,1720000000.0,1.5,962400000.0,2.71,12.90,21.70,1060000000.0,3.02,3860000000.0,2.18,28.58,24.84,1.5,5.40,85.80,33090000.000000004,6.17,9.47,29550000.0,N/A
192,N/A,N/A,mpc,N/A,N/A,N/A,N/A,N/A,59.33,9.72,0.31,1.44,3.27,5.82,6.07,1.5,112.43,19280000000.0,30060000000.0,7.98,3.88,0.50,5.87,0.50,16160000000.0,1.5,1960000000.0,3.65,99.90,28.80,308000000.0,0.58,11570000000.0,1.45,24.34,35.49,1.5,0.87,83.90,9420000.0,1.66,2.00,8540000.0,N/A
193,N/A,N/A,mrk,N/A,N/A,N/A,N/A,N/A,58.70,33.03,3.80,3.42,11.72,21.40,5.09,1.5,14.06,149230000000.0,161970000000.0,14.37,4.88,4.11,11.16,4.11,24560000000.0,1.5,4610000000.0,1.63,18.00,1.20,12940000000.0,4.68,25770000000.0,1.64,15.82,53.88,1.5,0.04,75.20,30400000.0,3.46,1.10,28660000.0,N/A
194,N/A,N/A,msft,N/A,N/A,N/A,N/A,N/A,62.52,39.38,4.66,5.42,12.06,27.03,8.19,1.5,10.89,401510000000.0,342940000000.0,17.67,2.29,3.95,11.77,3.95,60540000000.0,1.5,10480000000.0,1.30,24.70,5.50,105340000000.0,13.40,46770000000.0,2.90,9.51,51.08,1.5,3.78,72.60,49450000.0,2.00,0.64,48860000.0,N/A
195,N/A,N/A,myl,N/A,N/A,N/A,N/A,N/A,72.62,25.05,2.01,1.85,8.26,18.60,5.06,1.5,19.89,19910000000.0,26100000000.0,6.73,0.58,2.68,8.89,2.68,4219999999.9999995,1.5,804900000.0,1.56,75.40,17.10,1270000000.0,2.49,7460000000.0,1.67,20.91,39.16,1.5,14.24,37.80,34630000.0,7.13,9.45,45820000.0,N/A
196,N/A,N/A,ndaq,N/A,N/A,N/A,N/A,N/A,45.02,19.67,3.06,1.85,15.97,28.32,4.71,1.5,20.77,10480000000.0,12630000000.0,15.16,1.80,3.66,11.28,3.66,1980000000.0,1.5,551000000.0,3.24,366.70,5.50,415000000.0,2.52,2560000000.0,1.07,34.63,63.68,1.5,18.44,78.40,4030000.0000000005,2.68,3.53,4890000.0,N/A
197,N/A,N/A,nee,N/A,N/A,N/A,N/A,N/A,137.15,20.20,3.25,2.44,15.90,27.75,3.74,1.5,37.84,55720000000.0,87500000000.0,18.38,2.71,5.08,10.94,5.08,8890000000.0,1.5,2740000000.0,5.98,2.20,6.60,628000000.0,1.36,32409999999.999996,0.67,49.65,120.76,1.5,0.24,73.50,8369999.999999999,4.65,1.82,8490000.0,N/A
198,N/A,N/A,nem,N/A,N/A,N/A,N/A,N/A,40.02,200.41,2.26,1.55,1.14,21.44,4.16,1.5,14.87,18080000000.0,21290000000.0,21.29,3.48,2.73,7.36,2.73,3420000000.0,1.5,96000000.0,0.17,71.60,3.00,2490000000.0,4.69,5700000000.0,3.28,21.39,34.07,1.5,0.13,80.30,10710000.0,1.29,2.26,10060000.0,N/A
